TE_18 w,TE_18 D,TE_22 w,TE_22 D,TM_18 w,TM_18 D,TM_22 w,TM_22 D
958837547974587.2,8.69547917888562e-06,911916999214596.0,-8.673257478005894e-06,1104889897658949.8,1.689154064516127e-05,1092394474682000.5,1.5522105806451604e-05
965422686137270.9,1.0508499706744857e-05,917873435305451.8,-7.431338416422306e-06,1108445324232149.8,1.9332923870967732e-05,1096259703232860.4,1.7762394838709668e-05
972099403426341.2,1.219460879765394e-05,923908616539549.2,-6.307265689149573e-06,1112025521334232.0,2.1423971096774196e-05,1100151842419291.4,2.010904774193547e-05
978869186944041.5,1.3862587683284444e-05,930023457949364.4,-5.119737243401772e-06,1116030449385545.9,2.380319793548385e-05,1104072362137795.0,2.2329393548387088e-05
985733996210076.8,1.5512436363636353e-05,936220013130378.8,-3.99566451612904e-06,1120063909776251.2,2.6262197677419335e-05,1108417986656342.1,2.4645023655913957e-05
992695920979593.9,1.7126024633431073e-05,942499728644025.4,-2.8806568914956043e-06,1124127105705601.4,2.8631452903225805e-05,1113198138651168.4,2.711576774193547e-05
999757606032121.2,1.8567375953079164e-05,948864392428377.1,-1.801909677419374e-06,1128631357863633.0,3.1134327741935476e-05,1117616575131439.9,2.9329465806451607e-05
1006920441027406.0,2.001779237536657e-05,955315947830614.6,-8.138134897360771e-07,1136076349324105.2,3.596557419354838e-05,1122070611787740.8,3.1470038709677406e-05
1014186653970402.2,2.1468208797653943e-05,962903817999582.0,5.16490322580637e-07,1139839809329745.8,3.7644461419354826e-05,1126559408348875.8,3.377680516129031e-05
1021558935020198.1,2.2818909090909072e-05,968485596078597.8,1.234899706744855e-06,1144471622318281.8,4.005559741935484e-05,1131085415484100.8,3.586862795698924e-05
1029039784530031.6,2.4033632844574767e-05,975207962696741.4,2.150475073313785e-06,1149568448361758.8,4.2538529032258056e-05,1135646691279418.5,3.8190905806451606e-05
1036630924819817.8,2.5266486803519057e-05,982024302990660.0,3.0660504398826728e-06,1154711163277557.0,4.496970322580644e-05,1140245700590424.2,4.036693333333332e-05
1044334937276873.2,2.6490275659824034e-05,988936601353458.2,3.981625806451603e-06,1159466064804219.0,4.71701058064516e-05,1145730695005247.8,4.265723870967741e-05
1052155240918783.2,2.7514632258064508e-05,995947350408060.5,4.788419941348948e-06,1164698085790326.0,4.9571839999999995e-05,1151268525177345.0,4.498157419354837e-05
1060093677950019.9,2.851179354838709e-05,1003058401097946.4,5.549888563049847e-06,1169975669686593.2,5.2299630107526874e-05,1156428105624217.5,4.712547096774192e-05
1068152945520848.8,2.9481759530791774e-05,1010271650139202.2,6.329487390029314e-06,1173963378939896.8,5.468727741935482e-05,1162071279154473.5,4.923850322580644e-05
1076335823517471.0,3.042453020527857e-05,1017589591860399.0,7.063760703812306e-06,1179778380533970.5,5.697837419354839e-05,1167768591257094.5,5.1562838709677405e-05
1084646071176354.1,3.1158803519061565e-05,1025014761534891.8,7.698317888563039e-06,1186105980706946.5,5.9357316129032255e-05,1173522399350050.5,5.382544516129032e-05
1093085868829670.9,3.184775131964808e-05,1032549209431524.1,8.305679765395864e-06,1192042779994051.5,6.155107096774192e-05,1180233162383136.5,5.628273548387096e-05
1101657854886304.0,3.2572959530791776e-05,1040195283677482.5,8.903976539589421e-06,1198039080620529.8,6.378281290322579e-05,1187283401384495.0,5.8469367741935474e-05
1110366048932055.5,3.316219120234602e-05,1047955650279673.1,9.456947800586505e-06,1204095565328800.2,6.608815483870967e-05,1194352706967115.5,6.060614193548386e-05
1119213913632244.5,3.357918592375365e-05,1055833145138638.0,9.910202932551314e-06,1209741048220585.2,6.817111397849462e-05,1201306032268268.0,6.281414193548386e-05
1141120074495078.0,3.449476129032257e-05,1063830053370428.5,1.0345327859237528e-05,1215917779150484.0,7.030709677419355e-05,1208812933832493.8,6.513254193548386e-05
1147477220357506.0,3.462167272727271e-05,1071949067324810.9,1.0771387683284444e-05,1223125482225581.5,7.247414193548386e-05,1217013636714077.0,6.738861935483871e-05
1156930852079392.5,3.469419354838709e-05,1079188013971687.6,1.0928516129032247e-05,1230909469349010.5,7.463050322580645e-05,1226834733261950.8,6.966463999999999e-05
1166541960968148.5,3.469419354838709e-05,1088565672424278.6,1.1415009970674475e-05,1238792524851404.0,7.688658064516127e-05,1238126929638283.0,7.22971458064516e-05
1177659285449660.8,3.470665806451612e-05,1097069970672474.1,1.1478465689149544e-05,1247279769213642.2,7.926730322580644e-05,1248767019219490.0,7.455848602150535e-05
1186252616147478.0,3.447663108504398e-05,1105707264504004.6,1.1723223460410536e-05,1257108774864090.0,8.192972387096773e-05,1259844254069512.0,7.658604731182793e-05
1196360996327227.5,3.4177482697947214e-05,1114482726135206.4,1.1759483870967727e-05,1268658602561717.5,8.405367741935483e-05,1271099186909866.0,7.822028387096773e-05
